1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
5.281664177,5.286300287,5.291760579,5.297635039,5.303616083,5.309412728,5.314488264,5.318421146,5.320531631,5.320449515,5.317759014,5.312581691,5.305279174,5.296665641,5.287518638,5.279314604,5.27298443,5.269563397,5.268980427,5.270735639,5.273883934,5.277709807
5.281436048,5.286068972,5.291550604,5.297458598,5.303533594,5.309370764,5.314602363,5.318575552,5.320846953,5.320781172,5.31817981,5.312976947,5.305661485,5.296978565,5.287740218,5.279438469,5.273013887,5.269519377,5.268879907,5.270592137,5.273704592,5.277501208
5.281592875,5.286235762,5.291720033,5.297617435,5.303673737,5.309482027,5.314678461,5.318609407,5.320838008,5.320731963,5.318101661,5.312888776,5.305581918,5.296923576,5.287715977,5.279452685,5.273063077,5.269598963,5.268980756,5.270707653,5.273832528,5.277643519
5.281745505,5.286397189,5.291882901,5.297768742,5.303805928,5.309585534,5.314747707,5.318638022,5.32082618,5.320682756,5.318026732,5.312806867,5.30551072,5.296877434,5.28770013,5.279473702,5.273116643,5.2696805,5.269081552,5.270821774,5.273958154,5.277782631
5.28127739,5.285871043,5.291306239,5.29718645,5.303209557,5.309101347,5.314324588,5.318468405,5.320828441,5.321026989,5.318603223,5.313642811,5.306527719,5.297846622,5.28872288,5.280122466,5.273602127,5.269760441,5.268960628,5.270540463,5.273602513,5.277374509
5.281423945,5.286025699,5.291461583,5.297330692,5.303333672,5.309199196,5.314388094,5.318494897,5.320815531,5.320980043,5.318531882,5.313564474,5.306464115,5.297805172,5.288714059,5.280145651,5.273658028,5.269841237,5.26905978,5.270651698,5.273724136,5.277508506
5.281569066,5.286178125,5.291613773,5.297470906,5.303453148,5.309292255,5.31444704,5.318517553,5.320799829,5.320931705,5.318460924,5.313488756,5.306403677,5.297767428,5.288708849,5.280171644,5.273715737,5.269922863,5.269159119,5.270762736,5.273845286,5.277641628
5.281321162,5.285922935,5.291376101,5.297260356,5.303338142,5.309208849,5.314530539,5.318636105,5.321099708,5.321250827,5.318893767,5.313904383,5.30682596,5.298119617,5.288974123,5.280325365,5.273766741,5.26988532,5.269056627,5.270610751,5.273653393,5.2774169
5.281461173,5.286069407,5.291521593,5.297392046,5.303449925,5.309292445,5.314582478,5.318651327,5.321080247,5.321200316,5.318824958,5.313834206,5.306773597,5.29809065,5.288976738,5.280356808,5.273827177,5.269966985,5.269154141,5.270718781,5.2737708,5.277545619
5.28159867,5.286212397,5.291662522,5.297518167,5.303555652,5.309369888,5.314628824,5.318662006,5.321057861,5.3211488,5.318757311,5.313767249,5.306726134,5.298067114,5.288984439,5.280392054,5.273889927,5.270049523,5.26925154,5.270826076,5.273887012,5.27767256
5.281111584,5.285662874,5.291056482,5.296903588,5.302915836,5.308846529,5.31415422,5.318454912,5.321016105,5.321471636,5.319312316,5.314633974,5.307680358,5.299214406,5.289889492,5.281263802,5.274288452,5.270232842,5.269117608,5.270542241,5.273520499,5.277249233
5.281241881,5.285797626,5.291187907,5.297020441,5.303010545,5.308915666,5.314191746,5.318461196,5.320990366,5.321421324,5.319247276,5.314573858,5.307638771,5.299200865,5.289902001,5.281305552,5.274352097,5.270315765,5.269212925,5.270646392,5.273632117,5.277370215
